j,age,sex,log_household,Constant
"Apple, raw",0.0020449236515114933,-0.1021449193168511,-0.016713325501451447,5.030742329457901
"Avocado, raw",-0.00024223282964681066,-0.0008681858860981606,-0.16000017107679682,4.130018274740438
"Banana, raw",0.0011434989323890266,-0.1342684164048782,0.02825717197757029,4.687077691768592
"Blueberries, raw",0.0011478153546343307,-0.10955437042252392,-0.08496811136755071,3.8343631710959873
"Butter, stick",0.005345393669444871,-0.159423344600494,-0.022975448483725867,2.0888986247780803
"Butter, tub",0.0046365659970746586,-0.1895460020452806,0.05028424309763295,2.086974752844329
"Cantaloupe, raw",-0.004365520687547184,-0.15133973216098084,-0.17722517512235225,4.416266652403396
"Carrots, raw",-0.007226312415667269,-0.12823221831864418,-0.12702881994631401,3.534387418652804
"Cereal, granola",0.0075446151159650685,-0.40215764993284253,-0.0219691516067125,3.7122317530523747
"Cheese, cheddar",-0.0011232482500783338,-0.11457467837581947,0.0002740507593262614,3.3273428760352206
"Cheese, nfs",0.0011093021018636644,-0.1212029606469085,0.018802124433829896,2.988080042874218
"Cheese, parmesan, dry grated",0.0014521461169941731,-0.3204041356118468,-0.07679447295800153,1.9256119824682774
"Clementine, raw",0.0002653591193805985,0.0029052036981198626,-0.1312948193134148,4.709870545028954
"Coffee creamer, liquid, flavored",-0.006719445125019419,-0.06174858636976843,-0.05013252610679823,3.4837301690826905
"Coffee, brewed",0.00372047945464021,-0.21975075484578088,-0.09941115305305545,5.908306898683749
"Cookie, chocolate chip",-0.00019123782795728197,-0.08953361771107526,-0.02128262432898482,3.6112193534269696
"Cream, half and half",0.003058719963183043,0.03545605433385779,0.07746599278418077,3.3615265179373197
"Cucumber, raw",0.0003818011769641303,0.03006592377880679,0.02206040093810542,3.8162090054849407
"Egg, whole, boiled or poached",0.0033931497567152185,-0.08412783195575457,0.18718829101605328,4.1042879848023475
"Grapes, raw",0.0008236481487388591,-0.08451689070816384,-0.11895015663437722,4.3315844281263765
Honey,0.0008187406142092701,-0.13099711242044454,-0.1720630991000758,2.504444626596289
Hot pepper sauce,-0.005294558404312199,-0.09735704370803791,-0.07087433022150423,2.2509684128161256
"Ice cream, vanilla",0.0037332541119290607,-0.20106817675159183,-0.04687413090877337,4.650920640184771
"Italian dressing, made with vinegar and oil",-0.0005591940919772511,-0.1324888989932913,-0.23052596798829816,3.0893216608448686
Ketchup,-0.0003402704381399483,-0.13033345914240746,-0.06300908619461273,3.041475912740013
"Lettuce, for use on a sandwich",-0.0005044971024137028,-0.1426119046020753,0.018990895385679128,2.1838850522749214
"Lettuce, raw",0.004442010735178922,-0.01677410455544015,-0.12618966407137902,3.4314232858980342
"Mayonnaise, regular",0.0004079569446672212,-0.18769331354020102,0.027763639522685114,2.708800477336074
"Milk, low fat (1%)",-0.008094752814116896,-0.2039937564855736,-0.3528272724906346,5.388555504216724
"Milk, reduced fat (2%)",-0.006108360059089309,-0.13770024974618658,-0.1410073479614708,5.297576832881121
"Milk, whole",-0.007642007287002542,-0.2387490411604185,0.013846890895820588,5.156771367528508
"Mixed salad greens, raw",0.005427829252874889,-0.030787890740321178,0.10488673256457295,3.8640288638907117
Mustard,0.0006974687074907389,-0.10711179810209659,-0.010625155640887859,1.7726122900667585
"Onions, for use on a sandwich",-0.0001797206922736867,-0.14078761844924337,-0.051704733902874625,2.8993808077361254
"Onions, raw",-0.0019561254158528088,-0.14289837881850165,0.03776959444998349,2.972164562353045
"Orange juice, 100%, canned, bottled or in a carton",-0.0023167249322285453,-0.18191558686368003,-0.15149844472667873,5.304361122894507
"Orange, raw",-0.0001499049173870461,-0.08599450167016864,-0.07750760636764206,4.898187009275309
Pancake syrup,0.00747692575874333,-0.2137562986545336,-0.002064965947420638,3.4196144886208626
Peanut butter,-0.0006773378719153345,-0.1534973352671467,-0.12022386939121979,3.087016393808595
