j,beta
"Apple, raw",0.4515072921157692
"Avocado, raw",0.6436745224627318
"Banana, raw",0.3160815800858149
"Blueberries, raw",0.6288240250133769
"Butter, stick",0.5246560782357222
"Butter, tub",0.7135153861459289
"Cantaloupe, raw",0.5428900485725991
"Carrots, raw",0.6914697067060478
"Cereal, granola",0.6624288779483809
"Cheese, cheddar",0.7164843845232304
"Cheese, nfs",1.0930603528901919
"Cheese, parmesan, dry grated",1.1284391787105894
"Clementine, raw",0.3928583782901933
"Coffee creamer, liquid, flavored",0.7789862612570847
"Coffee, brewed",0.4091750378364511
"Cookie, chocolate chip",0.525048589327362
"Cream, half and half",0.676128428401904
"Cucumber, raw",0.7743953070283411
"Egg, whole, boiled or poached",0.4641806820421783
"Grapes, raw",0.6989636119877062
Honey,0.5697985248455306
Hot pepper sauce,1.0679712585348713
"Ice cream, vanilla",0.48123525775192705
"Italian dressing, made with vinegar and oil",0.8796032281711748
Ketchup,0.5256305212930458
"Lettuce, for use on a sandwich",0.259022894338967
"Lettuce, raw",0.6188547002605153
"Mayonnaise, regular",0.2077168248882305
"Milk, low fat (1%)",0.21199194796958493
"Milk, reduced fat (2%)",0.7280484560334849
"Milk, whole",0.3573267827598968
"Mixed salad greens, raw",0.9890117474832212
Mustard,0.34015271747066794
"Onions, for use on a sandwich",0.3075414568436651
"Onions, raw",1.140307704351073
"Orange juice, 100%, canned, bottled or in a carton",0.18384540518620435
"Orange, raw",0.4173891934648411
Pancake syrup,0.7534473110585649
Peanut butter,0.6478079269367643
"Pickles, nfs",0.29383366363511093
"Pineapple, raw",0.9937388961483
"Pork bacon, ns as to fresh, smoked or cured, cooked",0.5631112079215934
"Potato chips, plain",0.4860510278098831
"Potato, french fries, fast food",0.4795608491714734
Ranch dressing,0.7700403632490004
"Salsa, nfs",0.1921344546540395
"Soft drink, cola",0.36576586165438435
"Soft drink, cola, diet",0.4245453510377231
"Soft drink, fruit flavored, caffeine free",0.3910888162289409
"Sour cream, regular",0.379359750414103
"Strawberries, raw",0.5783181984269825
"Sugar, white, granulated or lump",0.4650214752295064
"Tea, hot, leaf, black",0.05808852413592216
"Tomatoes, for use on a sandwich",0.36432201830013083
"Tomatoes, raw",0.610371731065865
"Tortilla chips, plain",0.6083621318816013
"Water, bottled, plain",0.300796429134654
"Water, carbonated, flavored",0.33163006167758957
"Water, tap",0.40674391588993325
"Watermelon, raw",1.121914771773946
"Wine, red",0.20972949993662793
