i,t,m,age,sex,HH_size
93703,2017,USA,2,Female,5
93704,2017,USA,2,Male,4
93705,2017,USA,66,Female,1
93706,2017,USA,18,Male,5
93707,2017,USA,13,Male,7
93708,2017,USA,66,Female,2
93709,2017,USA,75,Female,1
93710,2017,USA,5.40E-79,Female,3
93711,2017,USA,56,Male,3
93712,2017,USA,18,Male,4
93713,2017,USA,67,Male,1
93714,2017,USA,54,Female,3
93715,2017,USA,71,Male,5
93716,2017,USA,61,Male,3
93717,2017,USA,22,Male,2
93718,2017,USA,45,Male,7
93719,2017,USA,13,Female,3
93720,2017,USA,1,Female,3
93721,2017,USA,60,Female,2
93722,2017,USA,60,Female,1
93723,2017,USA,64,Male,2
93724,2017,USA,5,Female,7
93725,2017,USA,9,Female,4
93726,2017,USA,67,Female,1
93727,2017,USA,70,Male,2
93728,2017,USA,53,Male,2
93729,2017,USA,42,Male,2
93730,2017,USA,57,Male,1
93731,2017,USA,20,Male,5
93732,2017,USA,72,Male,1
93733,2017,USA,11,Female,7
93734,2017,USA,13,Male,3
93735,2017,USA,52,Male,3
93736,2017,USA,11,Male,4
93737,2017,USA,8,Male,3
93738,2017,USA,26,Male,6
93739,2017,USA,5,Female,4
93740,2017,USA,72,Male,1
93741,2017,USA,9,Female,5
93742,2017,USA,72,Male,1
93743,2017,USA,61,Male,2
93744,2017,USA,10,Female,3
93745,2017,USA,5,Male,5
93746,2017,USA,25,Female,1
93747,2017,USA,13,Female,4
93748,2017,USA,5.40E-79,Male,3
93749,2017,USA,1,Female,7
93750,2017,USA,52,Female,2
93751,2017,USA,7,Female,6
93752,2017,USA,73,Female,3
93753,2017,USA,10,Female,5
93754,2017,USA,72,Male,2
93755,2017,USA,26,Female,1
93756,2017,USA,64,Female,3
93757,2017,USA,63,Male,2
93758,2017,USA,55,Female,2
93759,2017,USA,60,Male,4
93760,2017,USA,54,Female,2
93761,2017,USA,44,Male,4
93762,2017,USA,74,Female,1
93763,2017,USA,40,Male,4
93764,2017,USA,1,Female,3
93765,2017,USA,19,Male,7
93766,2017,USA,36,Female,4
93767,2017,USA,61,Male,3
93768,2017,USA,80,Male,2
93769,2017,USA,6,Male,4
93770,2017,USA,55,Male,1
93771,2017,USA,3,Male,7
93772,2017,USA,55,Female,1
93773,2017,USA,69,Male,2
93774,2017,USA,41,Female,3
93775,2017,USA,47,Female,2
93776,2017,USA,32,Female,7
93777,2017,USA,72,Female,1
93778,2017,USA,19,Female,3
93779,2017,USA,10,Female,6
93780,2017,USA,46,Female,4
93781,2017,USA,32,Male,1
93782,2017,USA,25,Female,3
93783,2017,USA,21,Female,5
93784,2017,USA,2,Female,5
93785,2017,USA,80,Female,1
93786,2017,USA,5.40E-79,Male,3
93787,2017,USA,13,Female,7
93788,2017,USA,66,Female,1
93789,2017,USA,34,Female,1
93790,2017,USA,5,Female,5
93791,2017,USA,20,Male,3
93792,2017,USA,31,Female,1
93793,2017,USA,12,Male,5
93794,2017,USA,62,Female,3
93795,2017,USA,64,Male,5
93796,2017,USA,71,Male,1
93797,2017,USA,52,Female,2
93798,2017,USA,61,Female,4
93799,2017,USA,41,Male,2
93800,2017,USA,80,Female,1
93801,2017,USA,59,Male,2
93802,2017,USA,2,Female,3
93803,2017,USA,12,Male,6
93804,2017,USA,1,Male,4
93805,2017,USA,64,Female,2
93806,2017,USA,44,Male,7
93807,2017,USA,13,Female,4
93808,2017,USA,14,Male,7
93809,2017,USA,1,Male,4
93810,2017,USA,13,Male,4
93811,2017,USA,24,Male,3
93812,2017,USA,67,Male,2
93813,2017,USA,42,Female,6
93814,2017,USA,41,Female,5
93815,2017,USA,32,Female,2
93816,2017,USA,80,Female,2
93817,2017,USA,55,Male,3
93818,2017,USA,14,Male,4
93819,2017,USA,63,Female,5
93820,2017,USA,11,Female,5
93821,2017,USA,16,Female,7
93822,2017,USA,6,Female,4
93823,2017,USA,58,Female,2
93824,2017,USA,52,Female,6
93825,2017,USA,74,Male,2
93826,2017,USA,74,Female,2
93827,2017,USA,68,Female,3
93828,2017,USA,2,Female,3
93829,2017,USA,38,Female,3
93830,2017,USA,67,Male,2
93831,2017,USA,61,Male,2
93832,2017,USA,63,Male,3
93833,2017,USA,6,Male,4
93834,2017,USA,48,Female,3
93835,2017,USA,27,Male,5
93836,2017,USA,13,Female,4
93837,2017,USA,35,Female,3
93838,2017,USA,5,Male,7
93839,2017,USA,50,Female,4
93840,2017,USA,47,Male,3
93841,2017,USA,48,Female,2
93842,2017,USA,2,Male,2
93843,2017,USA,42,Female,5
93844,2017,USA,6,Male,3
93845,2017,USA,28,Female,7
93846,2017,USA,29,Female,3
93847,2017,USA,43,Female,4
93848,2017,USA,62,Male,2
93849,2017,USA,40,Female,4
93850,2017,USA,74,Female,5
93851,2017,USA,74,Female,2
93852,2017,USA,45,Female,2
93853,2017,USA,50,Male,7
93854,2017,USA,5.40E-79,Male,3
93855,2017,USA,71,Male,1
93856,2017,USA,66,Male,4
93857,2017,USA,3,Female,4
93858,2017,USA,19,Female,5
93859,2017,USA,73,Male,4
93860,2017,USA,39,Female,3
93861,2017,USA,76,Male,2
93862,2017,USA,2,Male,7
93863,2017,USA,50,Male,4
93864,2017,USA,12,Female,5
93865,2017,USA,5.40E-79,Male,5
93866,2017,USA,26,Male,2
93867,2017,USA,2,Female,7
93868,2017,USA,68,Male,4
93869,2017,USA,80,Male,3
93870,2017,USA,20,Female,6
93871,2017,USA,55,Female,2
93872,2017,USA,1,Male,6
93873,2017,USA,16,Female,6
93874,2017,USA,8,Female,7
93875,2017,USA,37,Male,1
93876,2017,USA,10,Male,4
93877,2017,USA,64,Male,3
93878,2017,USA,59,Female,1
93879,2017,USA,7,Female,5
93880,2017,USA,5,Female,5
93881,2017,USA,8,Female,6
93882,2017,USA,26,Male,3
93883,2017,USA,30,Female,6
93884,2017,USA,19,Male,5
93885,2017,USA,8,Male,7
93886,2017,USA,78,Male,1
93887,2017,USA,63,Male,1
93888,2017,USA,37,Female,7
93889,2017,USA,8,Female,5
93890,2017,USA,27,Male,5
93891,2017,USA,56,Female,7
93892,2017,USA,80,Female,1
93893,2017,USA,55,Male,6
93894,2017,USA,66,Female,1
93895,2017,USA,40,Male,3
93896,2017,USA,10,Male,7
93897,2017,USA,10,Female,2
93898,2017,USA,5,Male,7
93899,2017,USA,67,Male,2
93900,2017,USA,48,Male,5
93901,2017,USA,12,Female,6
93902,2017,USA,24,Female,7
93903,2017,USA,62,Male,2
93904,2017,USA,10,Male,4
93905,2017,USA,15,Male,4
93906,2017,USA,39,Male,5
93907,2017,USA,41,Female,4
93908,2017,USA,20,Female,7
93909,2017,USA,41,Male,1
93910,2017,USA,80,Male,2
93911,2017,USA,6,Male,5
93912,2017,USA,25,Female,5
93913,2017,USA,40,Female,4
93914,2017,USA,41,Male,4
93915,2017,USA,34,Male,3
93916,2017,USA,28,Male,2
93917,2017,USA,14,Male,3
93918,2017,USA,36,Male,4
93919,2017,USA,8,Female,6
93920,2017,USA,61,Female,2
93921,2017,USA,7,Female,3
93922,2017,USA,11,Male,3
93923,2017,USA,52,Male,5
93924,2017,USA,70,Female,1
93925,2017,USA,13,Female,5
93926,2017,USA,31,Male,4
93927,2017,USA,54,Female,4
93928,2017,USA,11,Male,4
93929,2017,USA,35,Female,3
93930,2017,USA,80,Male,3
93931,2017,USA,24,Male,6
93932,2017,USA,54,Female,4
93933,2017,USA,1,Female,4
93934,2017,USA,5.40E-79,Female,4
93935,2017,USA,39,Male,4
93936,2017,USA,5.40E-79,Male,4
93937,2017,USA,30,Male,2
93938,2017,USA,18,Female,3
93939,2017,USA,40,Female,2
93940,2017,USA,50,Male,6
93941,2017,USA,42,Male,7
93942,2017,USA,52,Female,3
93943,2017,USA,80,Male,1
93944,2017,USA,2,Female,2
93945,2017,USA,66,Male,2
93946,2017,USA,22,Male,2
93947,2017,USA,53,Female,2
93948,2017,USA,13,Male,7
93949,2017,USA,49,Female,2
93950,2017,USA,30,Male,6
93951,2017,USA,5.40E-79,Female,5
93952,2017,USA,34,Female,4
93953,2017,USA,26,Male,5
93954,2017,USA,24,Male,5
93955,2017,USA,66,Female,1
93956,2017,USA,8,Male,5
93957,2017,USA,41,Female,4
93958,2017,USA,2,Female,7
93959,2017,USA,61,Female,3
93960,2017,USA,60,Male,2
93961,2017,USA,54,Female,3
93962,2017,USA,5.40E-79,Male,3
93963,2017,USA,80,Male,2
93964,2017,USA,52,Male,3
93965,2017,USA,30,Female,2
93966,2017,USA,5.40E-79,Male,7
93967,2017,USA,1,Male,4
93968,2017,USA,57,Male,2
93969,2017,USA,33,Female,4
93970,2017,USA,33,Male,4
93971,2017,USA,40,Male,5
93972,2017,USA,35,Male,3
93973,2017,USA,14,Female,5
93974,2017,USA,59,Male,1
93975,2017,USA,54,Female,3
93976,2017,USA,5.40E-79,Female,7
93977,2017,USA,66,Female,5
93978,2017,USA,57,Male,2
93979,2017,USA,16,Male,4
93980,2017,USA,29,Female,1
93981,2017,USA,52,Female,3
93982,2017,USA,57,Female,1
93983,2017,USA,75,Female,2
93984,2017,USA,32,Female,4
93985,2017,USA,61,Female,5
93986,2017,USA,7,Female,4
93987,2017,USA,35,Male,6
93988,2017,USA,32,Female,5
93989,2017,USA,39,Female,4
93990,2017,USA,64,Female,2
93991,2017,USA,12,Male,7
93992,2017,USA,12,Female,4
93993,2017,USA,2,Female,3
93994,2017,USA,5.40E-79,Female,7
93995,2017,USA,12,Female,6
93996,2017,USA,3,Male,7
93997,2017,USA,11,Female,7
93998,2017,USA,24,Female,4
93999,2017,USA,23,Female,4
94000,2017,USA,60,Male,4
94001,2017,USA,18,Female,4
94002,2017,USA,27,Female,4
94003,2017,USA,75,Female,1
94004,2017,USA,25,Female,5
94005,2017,USA,7,Male,7
94006,2017,USA,13,Male,5
94007,2017,USA,79,Male,1
94008,2017,USA,46,Female,5
94009,2017,USA,11,Female,5
94010,2017,USA,71,Male,2
94011,2017,USA,7,Female,4
94012,2017,USA,25,Female,4
94013,2017,USA,56,Male,3
94014,2017,USA,6,Female,6
94015,2017,USA,30,Female,4
94016,2017,USA,70,Male,2
94017,2017,USA,54,Male,2
94018,2017,USA,4,Female,7
94019,2017,USA,64,Female,3
94020,2017,USA,3,Male,6
94021,2017,USA,38,Female,2
94022,2017,USA,1,Female,4
94023,2017,USA,4,Male,4
94024,2017,USA,10,Male,6
94025,2017,USA,5,Female,4
94026,2017,USA,80,Female,1
94027,2017,USA,20,Male,3
94028,2017,USA,39,Female,2
94029,2017,USA,46,Female,2
94030,2017,USA,45,Male,4
94031,2017,USA,67,Male,1
94032,2017,USA,10,Male,6
94033,2017,USA,55,Female,4
94034,2017,USA,54,Female,5
94035,2017,USA,12,Female,4
94036,2017,USA,12,Female,5
94037,2017,USA,59,Male,2
94038,2017,USA,59,Female,2
94039,2017,USA,60,Male,2
94040,2017,USA,28,Male,3
94041,2017,USA,60,Female,2
94042,2017,USA,26,Male,3
94043,2017,USA,64,Male,3
94044,2017,USA,34,Female,6
94045,2017,USA,62,Male,1
94046,2017,USA,46,Male,4
94047,2017,USA,45,Female,5
94048,2017,USA,80,Male,1
94049,2017,USA,66,Female,4
94050,2017,USA,55,Female,1
94051,2017,USA,80,Female,1
94052,2017,USA,4,Male,4
94053,2017,USA,62,Female,7
94054,2017,USA,50,Male,5
94055,2017,USA,80,Male,7
94056,2017,USA,8,Male,6
94057,2017,USA,62,Female,1
94058,2017,USA,61,Female,2
94059,2017,USA,54,Female,3
94060,2017,USA,59,Male,3
94061,2017,USA,36,Female,5
94062,2017,USA,5,Male,4
94063,2017,USA,2,Male,4
94064,2017,USA,17,Male,7
94065,2017,USA,69,Female,1
94066,2017,USA,1,Female,5
94067,2017,USA,44,Male,5
94068,2017,USA,69,Male,2
94069,2017,USA,61,Male,3
94070,2017,USA,8,Female,4
94071,2017,USA,33,Male,3
94072,2017,USA,5.40E-79,Male,4
94073,2017,USA,69,Male,1
94074,2017,USA,29,Male,2
94075,2017,USA,9,Male,4
94076,2017,USA,2,Male,7
94077,2017,USA,79,Female,1
94078,2017,USA,19,Female,4
94079,2017,USA,5.40E-79,Female,3
94080,2017,USA,79,Female,2
94081,2017,USA,80,Male,4
94082,2017,USA,69,Female,2
94083,2017,USA,7,Male,7
94084,2017,USA,61,Female,2
94085,2017,USA,80,Female,2
94086,2017,USA,80,Female,1
94087,2017,USA,19,Male,1
94088,2017,USA,1,Female,4
