j,age,sex,log_household,Constant
"Apple, raw",0.003058791620911052,-0.19242646631310523,0.016899897250300135,5.0189207233211
"Banana, raw",0.0026280705854258,-0.11894394986062995,0.028581162203810326,4.724381168016932
Barbecue sauce,-0.0013759902754982257,-0.5206434701262603,0.1370054470980438,3.0107168812915015
Beer,-0.005837859045912405,-0.5162499572327901,0.05855989688629242,6.495113256023518
"Bread, wheat or cracked wheat",0.0013814530046572602,-0.12177433435901808,-0.003126770460475741,3.8896813805780988
"Bread, white",-0.0007249644053800343,-0.10288467321631621,-0.03567624067459672,3.938436023156603
"Butter, stick",0.005312135272723386,-0.22751077523608187,-0.19335253039320852,1.9632486713330644
"Carrots, raw",-0.00990364701888823,-0.18751680286574712,-0.10518402050284288,3.2372104673128104
"Cheese, american",0.005138973461877081,-0.11149419979286834,0.06367579835841991,3.2011350382103045
"Cheese, cheddar",0.0009603953202471585,-0.08242760020212964,-0.010392939468322732,3.0726246855448314
"Cheese, nfs",-0.0011718580103502252,-0.30576560876763637,-0.02913617677992689,2.8175307595683936
"Coffee creamer, liquid, flavored",-0.003839657673450332,-0.10791419992166817,-0.1021301277436953,3.2923415978543416
"Coffee, brewed",0.0032092879339288005,-0.27643140003990396,-0.16853873604448383,5.870520466098171
"Cookie, chocolate chip",0.004245620579866488,-0.24156427281880033,-0.0829725839433442,3.5603032667826087
Creamy dressing,-0.0017966305550714652,-0.4129330496824009,-0.3243881387412085,3.1995354245152114
"Cucumber, raw",-7.705794792838655e-06,-0.24571532350123482,-0.05110999598455526,3.8230594763323302
"Egg, whole, boiled or poached",0.0012895599089533384,-0.17289236223809024,0.12805708578223662,4.063630859764224
"Grapes, raw",0.0022816952396856795,-0.07979042642544325,-0.021332235373724993,4.317089955193005
"Ham, prepackaged or deli, luncheon meat",0.0013248746693135718,-0.20294469402901627,-0.020947129598230998,3.988268371660798
Hard candy,-0.009717452346206726,-0.018325041308938417,-0.09223459768020571,2.366522530397146
Hot pepper sauce,-0.010368111185388024,-0.2011005936529937,0.06062201337505629,2.0182366545536383
"Italian dressing, made with vinegar and oil",-0.0037612313711621707,-0.44973908337854596,-0.17959510845288587,3.2661768234423585
Ketchup,0.004793167116746154,-0.17664499104775055,0.04130305954381092,2.854616026291206
"Lettuce, for use on a sandwich",0.001138620673239142,-0.16998664919964246,-0.019294950428362708,2.0964538439093476
"Lettuce, raw",0.003829888061506746,-0.16787938760482168,-0.03951206559296479,3.534066033621577
"Mayonnaise, regular",0.0014320427384482315,-0.19376751090456112,0.013187539711496549,2.6480825894537983
"Milk, low fat (1%)",-0.004631189177723424,-0.15921743547093437,0.0600625622255946,5.226851064514496
"Milk, reduced fat (2%)",-0.007029827410451708,-0.3432960828548902,-0.07602668803236631,5.3103645021901675
"Milk, whole",-0.009561905086635172,-0.16218743364124366,-0.13911133809511161,5.357503379544555
Mustard,0.001172344031663898,-0.18323667078515382,-0.029743040030482965,1.7978923806819926
"Onions, raw",0.006327417887151372,-0.2348282253150038,0.11427320417727165,2.731060494005323
"Orange juice, 100%, canned, bottled or in a carton",0.0016888470628451519,-0.09640322784518951,0.021296227494679548,5.428307015692984
"Orange juice, 100%, with calcium added, canned, bottled or i",0.003925797767700755,-0.23140852258748967,0.036237527554748995,5.415074255266795
"Orange, raw",0.005495185691865141,-0.11304967912192754,0.1361301567742174,4.958725224025314
Pancake syrup,0.009731533060420476,-0.6785136167941981,-0.08744304872295432,3.3843945666421216
Peanut butter,0.0024924796032875485,-0.2901189670785338,-0.057518197389830134,2.8967474287871684
"Pork bacon, ns as to fresh, smoked or cured, cooked",0.00166404117236207,-0.23276767624557548,-0.028105693215294388,2.9383165954479153
"Potato, french fries, fast food",0.0043002012767997195,-0.29061081177838455,-0.0038366788872456455,4.30543676433497
"Rice, white, cooked, no added fat",0.00513922586052569,-0.15086888043859592,0.12934882715515916,5.021816118765791
"Roll, white, soft",0.003208411572239069,-0.23917548239418585,0.06231463642395717,3.6759881241802246
"Soft drink, cola",0.005056702659372589,-0.3064281804405484,-0.01727591290931313,5.915804311080495
"Soft drink, fruit flavored, caffeine free",0.004980923619427829,-0.2094619637210413,-0.07360642546063649,5.765291345804757
"Strawberries, raw",-5.747870335240347e-05,-0.008481099743080645,-0.0933486513767735,4.182069982410939
"Sugar, white, granulated or lump",0.003683387667060966,-0.06380807255072996,-0.021227205658142484,2.2271782265002784
"Tea, iced, bottled, black",0.003266936201356206,-0.4369531440610328,-0.0347583415843978,5.931388335972106
"Tea, iced, brewed, black, pre-sweetened with sugar",0.010163821333973299,-0.12597043848960865,0.004361127524479923,5.942271536259914
"Tomatoes, for use on a sandwich",0.0013125151707440651,-0.18806876788390747,0.005607882429992677,3.031918634530981
"Tomatoes, raw",0.004050378515017895,-0.054257767232865906,-0.004561378059862293,3.928253383034538
"Turkey, prepackaged or deli, luncheon meat",-3.3503129076485415e-05,-0.040103297112040914,-0.08979149340240121,4.020231909590772
"Water, bottled, unsweetened",0.010056495478545147,-0.07998442388376767,0.04706194962592896,6.604270307957958
"Water, tap",0.008069107373286134,-0.017923382221771256,-0.11037713575540314,6.446159224795249
